BHK,Type,Purpose,Location,Latitude,Longitude,City,furnishing,Bathroom,tenant_preferred,carpet_area,floor,direction,overlooking,society,amount
2,Builder,Rent,"in DDA Abhilasha Apartment, Sector 23 Rohini New Delhi           ",Error,Error,new delhi,Furnished,2,Bachelors,900 sqft,Ground out of 3,North - West,"Garden/Park, Main Road",DDA Abhilasha Apartment,"30,000"
3,Builder,Rent,"in Tagore Park, Mukherjee Nagar New Delhi             ",28.55589,77.201979,new delhi,Semi-Furnished,3,Bachelors/Family,1000 sqft,1 out of 3,East,Garden/Park,,"45,000"
2,Apartment,Rent,"DDA Flats Sector D Pocket 7, Vasant Kunj New Delhi          ",39.03171,-90.26122,new delhi,Furnished,2,Bachelors,1800 sqft,3 out of 4,North,Garden/Park,DDA Flats Sector D Pocket 7,"60,000"
4,Builder,Rent,"in Premium Builder Floors, Defence Colony New Delhi            ",Error,Error,new delhi,Semi-Furnished,5,Bachelors/Family,2925 sqft,4 out of 4,Premium Builder Floors,5,Premium Builder Floors,250000
3,Builder,Rent,"in Defence colony Villas, Defence Colony New Delhi            ",28.56767,77.234012,new delhi,Semi-Furnished,3,Bachelors/Family,2100 sqft,1 out of 3,East,"Garden/Park, Main Road",Defence colony Villas,170000
4,Builder,Rent,in Safdarjung Enclave New Delhi               ,28.56502,77.1925584,new delhi,Semi-Furnished,4,Bachelors/Family,2300 sqft,2 out of 4,North - East,Main Road,,300000
3,Builder,Rent,in Greater Kailash 1 New Delhi              ,28.470777,77.50535,new delhi,Semi-Furnished,3,Bachelors/Family,1700 sqft,1 out of 4,North - East,Garden/Park,,120000
3,Apartment,Rent,"DDA Flats, Sarita Vihar, Mathura Road New Delhi            ",39.03171,-90.26122,new delhi,Furnished,2,Bachelors/Family,1500 sqft,2 out of 4,North - East,"Garden/Park, Main Road",DDA Flats,"47,500"
3,Builder,Rent,in Greater Kailash 2 New Delhi              ,28.470777,77.50535,new delhi,Unfurnished,3,Bachelors,1650 sqft,2 out of 4,North - East,Garden/Park,,150000
3,Builder,Rent,in Janakpuri New Delhi                ,28.61184275,77.10319157,new delhi,Furnished,3,Family,123 sqm,4 out of 4,North - East,Main Road,,"48,000"
2,Apartment,Rent,Sector 11 Dwarka New Delhi               ,28.55927255,77.06662475,new delhi,Semi-Furnished,2,Bachelors/Family,950 sqft,1 out of 3,East,Garden/Park,,"25,000"
1,Apartment,Rent,"Vasant Apartment, Vasant Vihar New Delhi              ",28.557827,77.161117,new delhi,Furnished,1,Bachelors/Family,45 sqyrd,2 out of 3,Garden/Park,Vasant Apartment,Vasant Apartment,"30,000"
1,Builder,Rent,in Old Rajinder Nagar New Delhi              ,28.635786,77.18414,new delhi,Furnished,1,Bachelors/Family,50 sqft,2 out of 4,East,"Garden/Park, Main Road",,"30,000"
3,Apartment,Rent,"Sangam Apartment, Chattarpur New Delhi               ",39.03171,-90.26122,new delhi,Furnished,3,Bachelors,1400 sqft,2 out of 4,East,"Garden/Park, Main Road",Sangam Apartment,"55,000"
Studio,for,Rent,Nagar New Delhi                 ,28.64308585,77.21926706,new delhi,Furnished,1,Bachelors/Family,300 sqft,4 out of 4,East,"Garden/Park, Main Road",,"14,000"
