gender,base_price,food_included,beds_available,city,location,room_type1,room_type1_price,room_type2,room_type2_price,room_type3,room_type3_price,wifi_available,ac_available,food_available,landmark1,landmark2,landmark3,pg_rating,no_of_ratings
Girls,"12,000",,,kolkata,in Dum Dum,Single Room,"12,000",,,,,,,,0.3 Km from Auxilium Convent School,0.9 Km from Sree Durga Sweets,0.0 Km from Metro Station,,
Boys,"2,500",Food Charge extra,,kolkata,in Jadavpur,Triple Sharing,"2,500",Four Sharing,"2,500",Twin Sharing,"3,000",,,,0.1 Km from Jadavpur Vidyapith,0.4 Km from Bandhan Bank Building,2.7 Km from Mahanayak Uttam Kumar metro station,,
Coed,"3,000",,,kolkata,in New Town,Single Room With AC,"5,000",Twin Sharing With AC,"3,000",Triple Sharing With AC,"3,000",,,,1.0 Km from The Newtown School,0.8 Km from New Town,2.2 Km from Upcoming Sub Cbd-1 Metro Station,,
Girls,"5,000",Food Charge extra,,kolkata,in Ballygunge,Triple Sharing,"5,000",,,,,,,,0.2 Km from Institute of Jute Technology,0.8 Km from Citi Style,1.7 Km from Jatin Das Park metro station,,
Girls,"5,000",Food Included,,kolkata,in Madhyamgram,Twin Sharing,"5,000",,,,,,,,0.6 Km from Welkin National School,7.9 Km from Chandana Furniture,14.7 Km from Shahid Khudiram,5.0,1 Ratings
Boys,"11,500",,Beds Available,mumbai,in Chembur,Twin Sharing With AC,"11,500",Four Sharing With AC,"13,800",Triple Sharing With AC,"15,750",Wifi Available,AC Available,Food Not Available,0.3 Km from Radhasai Tutorials & Coaching Classes,1.4 Km from Neelkanth Business Park,"1.1 Km from Ghatkopar metro station, Mumbai",,
Coed,"12,000",,Beds Available,mumbai,in Ghatkopar East,Single Room With AC,"30,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"12,000",Wifi Available,AC Available,Food Not Available,0.2 Km from Ramniranjan Jhunjhunwala College,1.4 Km from Goldcrest Business Park,"0.9 Km from Ghatkopar metro station, Mumbai",,
Coed,"8,000",,Beds Available,mumbai,in Bhandup West,Single Room With AC,"22,000",Twin Sharing With AC,"12,000",Triple Sharing,"8,000",Wifi Available,AC Available,Food Available,0.3 Km from Br Nath Pai Vidyalaya,1.2 Km from Dreams Mall,6.5 Km from Metro Station,,
Girls,"55,000",Food Included,Beds Available,mumbai,in Vile Parle West,Four Sharing With AC,"55,000",Twin Sharing With AC,"76,000",Triple Sharing With AC,"71,500",Wifi Available,AC Available,Food Available,0.1 Km from Mukesh Patel School of Technology Management Engineering,1.0 Km from CDAC,1.6 Km from Andheri Metro Station,,
Girls,"58,000",Food Included,Beds Available,mumbai,in Vile Parle,Twin Sharing With AC,"58,000",,,,,,,,1.2 Km from Bombay Cambridge International School,1.3 Km from Coin Bazaar,2.0 Km from Chakala (Jb Nagar) Metro Station,,
Coed,"9,999",,Beds Available,mumbai,in Kurla,Single Room With AC,"28,000",Twin Sharing With AC,"15,000",Triple Sharing,"9,999",Wifi Available,AC Available,Food Not Available,0.4 Km from Anjuman High School Kurla West,0.8 Km from Equinox Business Park,"2.9 Km from Asalpha metro station, Mumbai",,
Coed,"10,000",,Beds Available,mumbai,in Ghatkopar East,Single Room With AC,"18,000",Twin Sharing With AC,"15,000",Triple Sharing,"10,000",Wifi Available,AC Available,Food Not Available,0.2 Km from Ramniranjan Jhunjhunwala College,1.4 Km from Goldcrest Business Park,"0.9 Km from Ghatkopar metro station, Mumbai",,
Boys,"11,000",,Beds Available,mumbai,in Andheri West,Single Room With AC,"20,000",Twin Sharing With AC,"11,000",,,,,,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"1.0 Km from Versova metro station, Mumbai",,
Boys,"14,000",,Beds Available,mumbai,in Andheri West,Single Room With AC,"20,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Not Available,,,,,
,"15,000",,Beds Available,mumbai,in Marine Drive,Single Room With AC,"25,000",Twin Sharing With AC,"20,000",Triple Sharing With AC,"15,000",Wifi Available,AC Available,Food Not Available,0.7 Km from Mahapragya High School Kalbadevi,0.7 Km from Mukta A2 Cinemas,0.2 Km from Girgaon Metro Station,,
Coed,"14,000",,Beds Available,mumbai,in Chandivali,Single Room With AC,"28,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Not Available,0.6 Km from Pawar Public School Chandivali,0.8 Km from Boomerang,"1.4 Km from Saki Naka metro station, Mumbai",,
Coed,"14,000",,Beds Available,mumbai,in Powai,Single Room With AC,"28,000",Twin Sharing With AC,"14,000",,,Wifi Available,AC Available,Food Not Available,0.3 Km from Hiranandani Foundation School,0.7 Km from Jolly Board Limited,"2.5 Km from Saki Naka metro station, Mumbai",,
,"11,000",,Beds Available,mumbai,in Malad East,Single Room,"20,000",Twin Sharing With AC,"15,000",Triple Sharing,"11,000",,,,0.1 Km from Mumbai Public School,0.4 Km from Raheja Federation Garden,2.0 Km from Metro Station,,
Coed,"13,000",Food Charge extra,Beds Available,mumbai,in Andheri East,Single Room With AC,"40,000",Twin Sharing With AC,"18,000",Triple Sharing With AC,"17,000",Wifi Available,AC Available,Food Available,0.2 Km from Pd Hinduja College Of Nursing,0.4 Km from Andheri Midc,"0.6 Km from Airport Road metro station, Mumbai",,
Coed,"10,000",Food Charge extra,Beds Available,mumbai,in Andheri West,Single Room With AC,"26,000",Twin Sharing With AC,"12,000",Triple Sharing With AC,"10,000",Wifi Available,AC Available,Food Available,0.3 Km from St. Mary's High School,0.5 Km from Laxmi Industrial Estate,"0.9 Km from Versova metro station, Mumbai",,
Boys,"10,000",,Beds Available,mumbai,in Vikhroli East,Twin Sharing With AC,"14,000",Triple Sharing With AC,"11,000",Four Sharing With AC,"10,000",Wifi Available,AC Available,Food Not Available,1.3 Km from Mumbai Public School,1.8 Km from Godrej One,"3.3 Km from Ghatkopar metro station, Mumbai",,
Coed,"11,000",,Beds Available,mumbai,in Ghatkopar East,Single Room With AC,"32,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"11,000",Wifi Available,AC Available,Food Not Available,0.2 Km from Ramniranjan Jhunjhunwala College,1.4 Km from Goldcrest Business Park,"0.9 Km from Ghatkopar metro station, Mumbai",,
Boys,"15,000",Food Charge extra,Beds Available,mumbai,in Andheri East,Single Room With AC,"28,000",Twin Sharing With AC,"15,000",,,Wifi Available,AC Available,Food Available,0.4 Km from Pd Hinduja College Of Nursing,0.6 Km from Wellington Business Park 1,"0.7 Km from Airport Road metro station, Mumbai",4.8,5 Ratings
Boys,"8,000",Food Charge extra,Beds Available,mumbai,in Kandivali West,Others With AC,"8,000",Twin Sharing With AC,"8,000",,,Wifi Available,AC Available,Food Available,0.3 Km from Dr. N D Patil Vidyalaya,0.6 Km from Charkop Industrial Estate,0.8 Km from Mahavir Nagar Metro Station,,
Coed,"10,000",,Beds Available,mumbai,in Ghatkopar East,Single Room With AC,"28,000",Twin Sharing With AC,"15,000",Triple Sharing,"10,000",,,,0.2 Km from Ramniranjan Jhunjhunwala College,1.4 Km from Goldcrest Business Park,"0.9 Km from Ghatkopar metro station, Mumbai",,
Coed,"10,000",,Beds Available,mumbai,in Kurla East,Single Room With AC,"28,000",Twin Sharing With AC,"15,000",Triple Sharing With AC,"10,000",,,,0.7 Km from Orchids The International School (Malad),1.1 Km from Equinox Business Park,"3.9 Km from Ghatkopar metro station, Mumbai",,
